date,open,high,low,close,volume,average,barCount,Stock,Resistance/Support,Break
2024-06-10 10:45:00-04:00,195.53,195.54,195.45,195.47,63014.0,195.504,339,AAPL,,
2024-06-10 10:46:00-04:00,195.47,195.5,195.41,195.45,90702.0,195.453,555,AAPL,,
2024-06-10 10:47:00-04:00,195.46,195.49,195.37,195.48,64406.0,195.433,349,AAPL,resistance,
2024-06-10 10:48:00-04:00,195.49,195.56,195.43,195.45,63764.0,195.495,379,AAPL,,
2024-06-10 10:49:00-04:00,195.46,195.48,195.39,195.47,47537.0,195.433,257,AAPL,,
2024-06-10 10:50:00-04:00,195.47,195.5,195.4,195.43,56827.0,195.447,365,AAPL,support,
2024-06-10 10:51:00-04:00,195.43,195.49,195.38,195.45,65449.0,195.43,354,AAPL,,
2024-06-10 10:52:00-04:00,195.46,195.58,195.44,195.49,80756.0,195.517,472,AAPL,resistance,
2024-06-10 10:53:00-04:00,195.5,195.5,195.43,195.49,57208.0,195.462,335,AAPL,resistance,
2024-06-10 10:54:00-04:00,195.49,195.49,195.43,195.47,46057.0,195.463,297,AAPL,,
2024-06-10 10:55:00-04:00,195.47,195.48,195.38,195.44,63739.0,195.418,439,AAPL,,
2024-06-10 10:56:00-04:00,195.44,195.48,195.39,195.42,69681.0,195.438,419,AAPL,support,
2024-06-10 10:57:00-04:00,195.42,195.55,195.42,195.49,81026.0,195.489,407,AAPL,resistance,
2024-06-10 10:58:00-04:00,195.49,195.5,195.4,195.49,59030.0,195.45,347,AAPL,,
2024-06-10 10:59:00-04:00,195.5,195.5,195.44,195.46,40072.0,195.464,223,AAPL,,
