AAPL,182.99,1714724400000,4,731.96
AAPL,182.89,1714725600000,4,731.56
AAPL,183.16,1714728000000,4,732.64
AAPL,183.1,1714730400000,4,732.4
AAPL,183.1,1714731300000,4,732.4
AAPL,183.24,1714732500000,4,732.96
AAPL,183.65,1714734300000,4,734.6
AAPL,183.4,1714736700000,4,733.6
AAPL,182.7,1714737600000,4,730.8
AAPL,185.27,1714741500000,4,741.08
AAPL,183.7303,1714743600000,4,734.9212
AAPL,183.485,1714744800000,4,733.94
AAPL,183.94,1714746600000,4,735.76
AAPL,184.715,1714747800000,4,738.86
AAPL,183.96,1714749600000,4,735.84
AAPL,184.185,1714752600000,4,736.74
AAPL,184.755,1714755300000,4,739.02
AAPL,184.9879,1714758000000,4,739.9516
AAPL,185.2689,1714761900000,4,741.0756
AAPL,184.64,1714763700000,4,738.56
AAPL,183.39,1714766100000,4,733.56
AAPL,183.39,1714766400000,4,733.56
AAPL,183.64,1714768200000,4,734.56
AAPL,183.73,1714769100000,4,734.92
AAPL,183.74,1714770000000,4,734.96
AAPL,183.82,1714771200000,4,735.28
AAPL,183.87,1714772100000,4,735.48
AAPL,183.81,1714773900000,4,735.24
AAPL,183.8505,1714775100000,4,735.402
AAPL,183.89,1714776300000,4,735.56
AAPL,183.89,1714776600000,4,735.56
AAPL,183.74,1714778400000,4,734.96
